region,rajon,title,amount,period,month
Брестская,Ивацевичский,"Ивацевичский район",5243.3,3,Апрель
Брестская,Каменецкий,"Каменецкий район",5660.3,3,Апрель
Брестская,Кобринский,"Кобринский район",5405.6,3,Апрель
Брестская,Лунинецкий,"Лунинецкий район",5129.8,3,Апрель
Брестская,Ляховичский,"Ляховичский район",5024.1,3,Апрель
Брестская,Малоритский,"Малоритский район",4747.5,3,Апрель
Брестская,Пинский,"Пинский район",4676.3,3,Апрель
Брестская,Пружанский,"Пружанский район",5452.2,3,Апрель
Брестская,Столинский,"Столинский район",4421.9,3,Апрель
Минск,Минск,Минск,8793.1,3,Апрель
Могилевская,Всего,"Могилевская область",5289.8,1,Февраль
Брестская,Брест,Брест,5901.3,0,Январь
Брестская,Барановичи,Барановичи,5334.9,0,Январь
Брестская,Пинск,Пинск,4947.8,0,Январь
Брестская,Барановичский,"Барановичский район",4822.8,0,Январь
Брестская,Березовский,"Березовский район",5306.3,0,Январь
Брестская,Брестский,"Брестский район",5258.3,0,Январь
Брестская,Ганцевичский,"Ганцевичский район",4229.4,0,Январь
Брестская,Дрогичинский,"Дрогичинский район",4384.2,0,Январь
Брестская,Жабинковский,"Жабинковский район",5063.8,0,Январь
Брестская,Ивановский,"Ивановский район",4635.1,0,Январь
Брестская,Ивацевичский,"Ивацевичский район",4841,0,Январь
Брестская,Каменецкий,"Каменецкий район",4868.1,0,Январь
Брестская,Кобринский,"Кобринский район",4845.2,0,Январь
Брестская,Лунинецкий,"Лунинецкий район",4791.7,0,Январь
Брестская,Ляховичский,"Ляховичский район",4497.4,0,Январь
Брестская,Малоритский,"Малоритский район",4473,0,Январь
Брестская,Пинский,"Пинский район",4429.5,0,Январь
Брестская,Пружанский,"Пружанский район",5008,0,Январь
Брестская,Столинский,"Столинский район",4134.6,0,Январь
Могилевская,Всего,"Могилевская область",5633.5,2,Март
Брестская,Брест,Брест,6000.9,1,Февраль
Брестская,Барановичи,Барановичи,5428.8,1,Февраль
Брестская,Пинск,Пинск,5056.5,1,Февраль
Брестская,Барановичский,"Барановичский район",4826.2,1,Февраль
Брестская,Березовский,"Березовский район",5285.9,1,Февраль
Брестская,Брестский,"Брестский район",5168.7,1,Февраль
Брестская,Ганцевичский,"Ганцевичский район",4306.7,1,Февраль
Брестская,Дрогичинский,"Дрогичинский район",4424.8,1,Февраль
Брестская,Жабинковский,"Жабинковский район",5203.4,1,Февраль
Брестская,Ивановский,"Ивановский район",4579.9,1,Февраль
Брестская,Ивацевичский,"Ивацевичский район",4878.6,1,Февраль
Брестская,Каменецкий,"Каменецкий район",4998.9,1,Февраль
Брестская,Кобринский,"Кобринский район",4889.7,1,Февраль
Брестская,Лунинецкий,"Лунинецкий район",4713.3,1,Февраль
Брестская,Ляховичский,"Ляховичский район",4665.9,1,Февраль
Брестская,Малоритский,"Малоритский район",4430.6,1,Февраль
Брестская,Пинский,"Пинский район",4440.7,1,Февраль
Брестская,Пружанский,"Пружанский район",4941.2,1,Февраль
Брестская,Столинский,"Столинский район",4183.8,1,Февраль
Минская,Всего,"Минская область",6592.3,3,Апрель
Брестская,Брест,Брест,6350.3,2,Март
Брестская,Барановичи,Барановичи,5710,2,Март
Брестская,Пинск,Пинск,5432.5,2,Март
Брестская,Барановичский,"Барановичский район",5299.5,2,Март
Брестская,Березовский,"Березовский район",5583.9,2,Март
Брестская,Брестский,"Брестский район",5534.1,2,Март
Брестская,Ганцевичский,"Ганцевичский район",4630,2,Март
Брестская,Дрогичинский,"Дрогичинский район",4674.9,2,Март
Брестская,Жабинковский,"Жабинковский район",5404.4,2,Март
Брестская,Ивановский,"Ивановский район",5087.8,2,Март
Брестская,Ивацевичский,"Ивацевичский район",5152,2,Март
Брестская,Каменецкий,"Каменецкий район",5310.6,2,Март
Брестская,Кобринский,"Кобринский район",5139.2,2,Март
Брестская,Лунинецкий,"Лунинецкий район",5000.7,2,Март
Брестская,Ляховичский,"Ляховичский район",5022.9,2,Март
Брестская,Малоритский,"Малоритский район",4769.5,2,Март
Брестская,Пинский,"Пинский район",4795.2,2,Март
Брестская,Пружанский,"Пружанский район",5518.5,2,Март
Брестская,Столинский,"Столинский район",4390.2,2,Март
Минская,Всего,"Минская область",5942.4,1,Февраль
Гомельская,Гомель,Гомель,5972.6,0,Январь
Гомельская,Брагинский,"Брагинский район",4406.5,0,Январь
Гомельская,Буда-Кошелевский,"Буда-Кошелевский район",4619.5,0,Январь
Гомельская,Ветковский,"Ветковский район",4499.1,0,Январь
Гомельская,Гомельский,"Гомельский район",5297.7,0,Январь
Гомельская,Добрушский,"Добрушский район",4471.7,0,Январь
Гомельская,Ельский,"Ельский район",4450.2,0,Январь
Гомельская,Житковичский,"Житковичский район",4522.4,0,Январь
Гомельская,Жлобинский,"Жлобинский район",5858.3,0,Январь
Гомельская,Калинковичский,"Калинковичский район",5097.5,0,Январь
Гомельская,Кормянский,"Кормянский район",4302.8,0,Январь
Гомельская,Лельчицкий,"Лельчицкий район",4594.2,0,Январь
Гомельская,Лоевский,"Лоевский район",4052.4,0,Январь
Гомельская,Мозырский,"Мозырский район",6269.5,0,Январь
Гомельская,Наровлянский,"Наровлянский район",4395.2,0,Январь
Гомельская,Октябрьский,"Октябрьский район",4390.5,0,Январь
Гомельская,Петриковский,"Петриковский район",4213.8,0,Январь
Гомельская,Речицкий,"Речицкий район",5893.7,0,Январь
Гомельская,Рогачевский,"Рогачевский район",4847.8,0,Январь
Гомельская,Светлогорский,"Светлогорский район",5553.2,0,Январь
Гомельская,Хойникский,"Хойникский район",4245.9,0,Январь
Гомельская,Чечерский,"Чечерский район",4594.4,0,Январь
Минская,Всего,"Минская область",6355.8,2,Март
Гомельская,Гомель,Гомель,6018.3,1,Февраль
Гомельская,Брагинский,"Брагинский район",4292.2,1,Февраль
Гомельская,Буда-Кошелевский,"Буда-Кошелевский район",4594,1,Февраль
Гомельская,Ветковский,"Ветковский район",4558,1,Февраль
Гомельская,Гомельский,"Гомельский район",5291.4,1,Февраль
Гомельская,Добрушский,"Добрушский район",4528.3,1,Февраль
Гомельская,Ельский,"Ельский район",4501.7,1,Февраль
Гомельская,Житковичский,"Житковичский район",4518.9,1,Февраль
Гомельская,Жлобинский,"Жлобинский район",5896.3,1,Февраль
Гомельская,Калинковичский,"Калинковичский район",5154.6,1,Февраль
Гомельская,Кормянский,"Кормянский район",4142.3,1,Февраль
Гомельская,Лельчицкий,"Лельчицкий район",4650.7,1,Февраль
Гомельская,Лоевский,"Лоевский район",4071,1,Февраль
Гомельская,Мозырский,"Мозырский район",6252.2,1,Февраль
Гомельская,Наровлянский,"Наровлянский район",4645.4,1,Февраль
Гомельская,Октябрьский,"Октябрьский район",4281.8,1,Февраль
Гомельская,Петриковский,"Петриковский район",4139.8,1,Февраль
Гомельская,Речицкий,"Речицкий район",6155.8,1,Февраль
Гомельская,Рогачевский,"Рогачевский район",4663.5,1,Февраль
Гомельская,Светлогорский,"Светлогорский район",5553.3,1,Февраль
Гомельская,Хойникский,"Хойникский район",4246.4,1,Февраль
Гомельская,Чечерский,"Чечерский район",4706.7,1,Февраль
Минская,Всего,"Минская область",5892.2,0,Январь
Гомельская,Гомель,Гомель,6325.9,2,Март
Гомельская,Брагинский,"Брагинский район",4690,2,Март
Гомельская,Буда-Кошелевский,"Буда-Кошелевский район",5046.1,2,Март
Гомельская,Ветковский,"Ветковский район",4903.1,2,Март
Гомельская,Гомельский,"Гомельский район",5828.8,2,Март
Гомельская,Добрушский,"Добрушский район",4846.3,2,Март
Гомельская,Ельский,"Ельский район",5033.2,2,Март
Гомельская,Житковичский,"Житковичский район",4897.2,2,Март
Гомельская,Жлобинский,"Жлобинский район",6585.3,2,Март
Гомельская,Калинковичский,"Калинковичский район",5557.5,2,Март
Гомельская,Кормянский,"Кормянский район",4648.6,2,Март
Гомельская,Лельчицкий,"Лельчицкий район",5043.6,2,Март
Гомельская,Лоевский,"Лоевский район",4602.6,2,Март
Гомельская,Мозырский,"Мозырский район",6706.2,2,Март
Гомельская,Наровлянский,"Наровлянский район",4744.4,2,Март
Гомельская,Октябрьский,"Октябрьский район",4657.1,2,Март
Гомельская,Петриковский,"Петриковский район",4576.2,2,Март
Гомельская,Речицкий,"Речицкий район",6588.2,2,Март
Гомельская,Рогачевский,"Рогачевский район",5055.6,2,Март
Гомельская,Светлогорский,"Светлогорский район",6071.4,2,Март
Гомельская,Хойникский,"Хойникский район",4634.3,2,Март
Гомельская,Чечерский,"Чечерский район",5156.9,2,Март
Гродненская,Всего,"Гродненская область",5738.9,3,Апрель
Гродненская,Гродно,Гродно,6306.8,1,Февраль
Гродненская,Берестовицкий,"Берестовицкий район",5214.3,1,Февраль
Гродненская,Волковысский,"Волковысский район",5328.8,1,Февраль
Гродненская,Вороновский,"Вороновский район",4354.2,1,Февраль
Гродненская,Гродненский,"Гродненский район",5718.4,1,Февраль
Гродненская,Дятловский,"Дятловский район",4402.4,1,Февраль
Гродненская,Зельвенский,"Зельвенский район",4297.2,1,Февраль
Гродненская,Ивьевский,"Ивьевский район",4168.4,1,Февраль
Гродненская,Кореличский,"Кореличский район",4309.2,1,Февраль
Гродненская,Лидский,"Лидский район",5142.6,1,Февраль
Гродненская,Мостовский,"Мостовский район",4356.3,1,Февраль
Гродненская,Новогрудский,"Новогрудский район",4686.5,1,Февраль
Гродненская,Островецкий,"Островецкий район",5128,1,Февраль
Гродненская,Ошмянский,"Ошмянский район",4677.9,1,Февраль
Гродненская,Свислочский,"Свислочский район",4241.6,1,Февраль
Гродненская,Слонимский,"Слонимский район",4852.5,1,Февраль
Гродненская,Сморгонский,"Сморгонский район",5133.7,1,Февраль
Гродненская,Щучинский,"Щучинский район",4755.8,1,Февраль
Гродненская,Всего,"Гродненская область",5398.6,1,Февраль
Гродненская,Гродно,Гродно,6638.3,2,Март
Гродненская,Берестовицкий,"Берестовицкий район",5410.5,2,Март
Гродненская,Волковысский,"Волковысский район",5637.2,2,Март
Гродненская,Вороновский,"Вороновский район",4588.6,2,Март
Гродненская,Гродненский,"Гродненский район",6252.6,2,Март
Гродненская,Дятловский,"Дятловский район",4650,2,Март
Гродненская,Зельвенский,"Зельвенский район",4582.2,2,Март
Гродненская,Ивьевский,"Ивьевский район",4510.8,2,Март
Гродненская,Кореличский,"Кореличский район",4832.6,2,Март
Гродненская,Лидский,"Лидский район",5376.3,2,Март
Гродненская,Мостовский,"Мостовский район",4596.8,2,Март
Гродненская,Новогрудский,"Новогрудский район",5105.9,2,Март
Гродненская,Островецкий,"Островецкий район",5713.2,2,Март
Гродненская,Ошмянский,"Ошмянский район",5133.3,2,Март
