region,rajon,title,amount,period,month
Могилевская,Могилев,Могилев,6295.3,2,Март
Минская,Жодино,Жодино,6286.1,3,Апрель
Гродненская область,Гродненский,Гродненский район,6277.4,10,Ноябрь
Витебская,Витебск,Витебск,6274.1,8,Сентябрь
Гродненская область,Волковысский,Волковысский район,6273.4,11,Декабрь
Гродненская,Всего,Гродненская область,6269.7,7,Август
Гомельская,Мозырский,Мозырский район,6269.5,0,Январь
Брестская,Барановичский,Барановичский район,6265.7,7,Август
Гомельская область,Всего,Гомельская область,6263.8,9,Октябрь
Минская,Пуховичский,Пуховичский район,6261.5,4,Май
Минская,Логойский,Логойский район,6258.7,5,Июнь
Гродненская,Гродненский,Гродненский район,6252.6,2,Март
Гомельская,Мозырский,Мозырский район,6252.2,1,Февраль
Минская,Жодино,Жодино,6251.7,2,Март
Брестская область,Пинск,Пинск,6251.1,11,Декабрь
Минская,Дзержинский,Дзержинский район,6250.5,0,Январь
Минская,Пуховичский,Пуховичский район,6247.1,6,Июль
Гродненская,Всего,Гродненская область,6243,6,Июль
Гродненская,Берестовицкий,Берестовицкий район,6241.4,7,Август
Могилевская область,Бобруйск,Бобруйск,6236.8,11,Декабрь
Гродненская,Гродно,Гродно,6235.4,0,Январь
Минская область,Логойский,Логойский район,6233.2,9,Октябрь
Гомельская область,Жлобинский,Жлобинский район,6229.7,11,Декабрь
Могилевская,Могилевский,Могилевский район,6228.3,5,Июнь
Витебская,Полоцкий,Полоцкий район,6226.6,6,Июль
Гродненская,Гродненский,Гродненский район,6220.7,4,Май
Витебская область,Витебск,Витебск,6218.1,10,Ноябрь
Гродненская,Островецкий,Островецкий район,6214.1,8,Сентябрь
Гомельская,Гомельский,Гомельский район,6213.8,8,Сентябрь
Витебская область,Всего,Витебская область,6212.6,11,Декабрь
Витебская,Витебск,Витебск,6211.6,4,Май
Минская,Червенский,Червенский район,6208.7,7,Август
Минская область,Столбцовский,Столбцовский район,6177.9,11,Декабрь
Могилевская,Белыничский,Белыничский район,6173.6,7,Август
Брестская,Жабинковский,Жабинковский район,6173.4,6,Июль
Гродненская,Волковысский,Волковысский район,6167.9,6,Июль
Минская,Воложинский,Воложинский район,6166.8,7,Август
Гомельская,Всего,Гомельская область,6164.7,4,Май
Витебская,Всего,Витебская область,6164,6,Июль
Могилевская область,Всего,Могилевская область,6163.3,11,Декабрь
Брестская,Брестский,Брестский район,6163,7,Август
Брестская,Березовский,Березовский район,6160.6,8,Сентябрь
Брестская,Березовский,Березовский район,6158.4,6,Июль
Гомельская,Речицкий,Речицкий район,6155.8,1,Февраль
Могилевская,Могилевский,Могилевский район,6149.3,8,Сентябрь
